,,15/SP,16/SP,17/SP,18/SP,19/SP,20/SP,21/SP,22/SP,23/SP,24/SP
Arts and Humanities (Division I),Chinese,1,2,1,3,1,2,,,,
,Classics,11,10,7,9,1,1,1,1,4,4
,English,34,29,24,25,27,25,21,16,16,22
,French and Francophone Studies,3,2,2,2,1,,1,1,3,3
,German Studies,1,,,1,,1,,,1,1
,Liberal Arts-Humanities (Undecided),7,10,20,4,,2,2,,,
,Music,1,,,1,,,1,1,1,3
,Philosophy,3,3,2,1,,3,4,1,3,1
,Spanish and Hispanic Studies,5,5,3,5,6,5,4,3,3,4
,Theater,4,4,4,2,4,4,2,,5,3
,Visual Arts,11,12,10,12,15,12,12,11,12,15
Social Sciences (Division II),Anthropology,15,14,9,10,6,7,6,2,2,3
,Economics,48,50,36,39,43,42,42,38,34,32
,History,12,13,9,7,8,9,11,11,9,7
,Law & Public Policy,,1,,,,,,,,
,Liberal Arts-Social Sciences (Undecided),24,20,43,13,1,9,5,1,1,
,Managerial Economics,11,11,14,10,7,8,9,11,16,10
,Political Science,38,34,34,38,42,48,42,29,32,40
,Sociology,15,15,15,16,14,15,27,19,20,15
Science and Mathematics (Division III),Astronomy,3,3,1,2,,2,,,,1
,Biochemistry,22,29,24,24,25,26,25,30,23,32
,Biology,73,79,62,73,75,92,87,86,89,92
,Chemistry,14,15,15,13,17,16,12,12,12,11
,Environmental Science,13,10,12,13,12,17,15,11,15,4
,Geology/ Geosciences,22,22,19,17,13,10,9,5,9,11
,Liberal Arts-Sciences (Undecided),28,23,91,51,33,23,16,6,,
,Mathematics,21,27,20,12,15,18,14,14,12,11
,Neuroscience,75,82,66,72,73,69,74,60,45,59
,Physics,6,9,5,7,9,6,8,5,4,7
,Psychology,124,129,92,77,73,83,81,83,83,74
Engineering and Computer Science (Division IV),Bioengineering/ Biomedical Engineering,33,45,42,52,62,54,57,68,69,71
,Civil Engineering,,,,,,,,,,1
,Computer Engineering,4,4,6,10,12,9,4,6,7,7
,Computer Science,11,10,6,11,14,15,17,13,25,20
,Electrical Engineering,9,11,10,13,14,11,8,7,12,11
,Engineering-Undeclared,11,4,8,11,13,16,6,6,8,10
,Environmental Engineering,,,,,,,,,,6
,Mechanical Engineering,26,26,26,23,29,36,35,36,31,34
Liberal Arts (Undecided),Leadership in Medicine (Undecided),5,6,11,13,12,10,12,10,11,6
,Liberal Arts Undecided,25,25,33,110,106,94,75,109,94,81
Misc,Africana Studies,,,,,,,,1,1,1
,American Studies,5,5,2,,,,1,,1,
,Asian Studies,4,3,1,1,,,1,1,2,1
,Environmental Policy,11,10,6,5,9,10,12,10,8,9
,Environmental Science,,,,,,,,,,20
,"Gender, Sexuality & Women's Studies",3,3,2,1,4,2,1,1,,
,Latin Amer & Caribbean Studies,1,,1,2,2,1,1,,1,
,Organizing Theme,2,5,6,5,3,4,3,1,,2
,Religious Studies,1,3,,,,,,,,
,Russia/EastEur Study,,,1,,,,,,1,
,"Science, Medicine & Technology",2,2,1,,,,,4,6,1
,"Science, Technology, & Society",,,,,,,,,,1
Double Major,Double Major,125,117,106,110,105,109,102,98,94,97
ID Major,ID Major,68,59,54,51,66,54,54,68,59,62
Grand Total,,991,1001,962,977,972,980,920,896,884,906
