,,15/SP,16/SP,17/SP,18/SP,19/SP,20/SP,21/SP,22/SP,23/SP,24/SP
Arts and Humanities (Division I),Chinese,1,,,1,,,,,,
,Classics,7,3,1,2,1,2,1,4,5,6
,English,25,13,9,7,6,9,8,9,11,12
,French and Francophone Studies,,1,1,1,,,,,,
,German Studies,,,,,,,,1,,
,Liberal Arts-Humanities (Undecided),3,3,7,2,1,4,4,1,1,
,Music,1,2,1,5,2,2,2,4,3,6
,Philosophy,9,8,4,4,6,7,8,8,5,6
,Spanish and Hispanic Studies,1,1,1,1,1,,1,2,2,2
,Theater,5,5,2,2,,3,1,3,4,3
,Visual Arts,5,3,4,5,4,3,3,5,6,5
Social Sciences (Division II),Anthropology,3,6,3,3,3,3,5,3,1,2
,Economics,195,189,139,140,167,161,160,151,132,135
,History,32,23,24,24,25,35,27,24,28,18
,Law & Public Policy,1,,,,,,,,,
,Liberal Arts-Social Sciences (Undecided),23,24,93,45,4,22,15,1,,
,Managerial Economics,41,58,44,61,49,40,48,39,37,36
,Political Science,60,59,50,54,57,56,56,46,41,38
,Sociology,4,4,6,4,6,6,6,6,6,5
Science and Mathematics (Division III),Astronomy,,2,,2,3,,1,1,3,2
,Biochemistry,23,21,12,11,11,12,8,13,14,19
,Biology,45,46,33,38,29,35,32,30,31,34
,Chemistry,6,14,13,10,16,7,8,9,7,7
,Environmental Science,12,13,15,12,16,15,10,4,8,2
,Geology/ Geosciences,18,20,18,11,12,12,9,6,6,7
,Liberal Arts-Sciences (Undecided),13,16,68,35,23,16,15,4,,
,Mathematics,18,21,11,18,11,20,25,15,8,7
,Neuroscience,30,19,17,11,19,21,24,21,19,19
,Physics,20,22,13,13,16,12,8,17,20,18
,Psychology,31,24,19,15,22,26,24,28,36,31
Engineering and Computer Science (Division IV),Bioengineering/ Biomedical Engineering,37,46,35,39,33,33,34,45,47,45
,Civil Engineering,,,,,,,,,,3
,Computer Engineering,29,28,36,32,29,28,30,31,24,25
,Computer Science,40,43,32,35,30,43,37,60,63,68
,Electrical Engineering,31,25,27,29,32,31,34,38,35,36
,Engineering-Undeclared,24,25,35,25,27,19,31,17,14,22
,Environmental Engineering,,,,,,,,,,2
,Mechanical Engineering,155,184,165,178,165,148,142,138,144,135
Liberal Arts (Undecided),Leadership in Medicine (Undecided),7,6,8,8,9,4,6,7,8,2
,Liberal Arts Undecided,33,27,26,98,158,126,97,155,179,145
Misc,Africana Studies,2,1,1,,1,,1,2,1,
,American Studies,4,2,,,1,4,4,2,,
,Asian Studies,2,3,1,1,,,1,2,1,
,Environmental Policy,8,6,5,3,3,3,3,8,8,10
,Environmental Science,,,,,,,,,,7
,"Gender, Sexuality & Women's Studies",,,,,,,,,1,1
,Latin Amer & Caribbean Studies,2,2,1,,,,,1,1,
,Organizing Theme,4,1,4,2,1,5,5,1,5,5
,Religious Studies,,,,,,1,1,,,
,Russia/EastEur Study,,,1,,,,,1,1,1
,"Science, Medicine & Technology",2,3,1,,,3,2,1,2,1
Double Major,Double Major,93,79,65,68,78,66,54,62,76,97
ID Major,ID Major,47,54,60,55,57,50,47,52,40,42
Grand Total,,1152,1155,1111,1110,1134,1093,1038,1078,1084,1067
