,15/SP,16/SP,17/SP,18/SP,19/SP,20/SP,21/SP,22/SP,23/SP,24/SP,Grand Total
Africana Studies,1,,,,1,,,,,,2
American Studies,,,,,,,1,,,,1
Anthropology,1,1,1,,3,3,5,2,,4,20
Art History,1,1,1,2,1,,,1,1,,8
Asian Studies,2,1,1,1,1,2,3,,2,1,14
Astronomy,1,3,3,4,1,3,2,2,1,,20
Astrophysics,1,4,2,2,5,4,3,2,3,5,31
Bioengineering/ Biomedical Engineering,,,,1,3,1,2,,,,7
Biology,5,4,2,5,1,,2,4,4,4,31
Chemistry,3,4,4,3,2,3,4,6,4,2,35
Chinese,4,3,3,4,1,4,4,5,4,4,36
Classical Civilization,3,16,19,26,17,11,10,16,8,14,140
Computer Engineering,2,1,,,1,1,,,,,5
Computer Science,7,9,5,9,8,10,9,17,12,17,103
Dance,,,,,,,,1,1,,2
Data Analytics,,,,,,,4,10,22,26,62
Digital Media,3,3,,3,3,2,1,,,1,16
Economics,15,16,15,14,13,14,9,9,9,13,127
Electrical Engineering,2,4,3,6,2,5,5,2,4,4,37
Energy Studies,4,3,2,5,8,4,5,3,,1,35
English,10,6,5,6,9,5,7,7,7,7,69
Environmental Engineering,10,7,8,8,8,4,2,2,1,4,54
Environmental Science & Policy,5,9,9,10,8,7,2,10,9,6,75
Film Studies,8,5,8,2,6,5,3,5,5,10,54
Financial & Actuarial Mathematics,,,,,,,,,3,8,11
French,3,3,1,3,4,4,5,2,3,4,32
"Gender, Sexuality & Women Studies",,1,1,1,,2,,,,,5
Geology/ Geosciences,1,2,4,2,,1,1,1,1,1,14
German Studies,1,2,6,4,1,3,6,8,3,3,37
Greek,2,1,,,,,,,,,3
History,10,9,6,9,21,17,19,17,15,13,136
Japanese,3,3,3,2,3,3,1,2,5,6,31
Jewish Studies,2,,,,,,1,1,1,,5
Latin,2,1,1,1,,,,,1,1,7
Latin American & Caribbean Studies,1,1,1,,1,,,,,,4
Law & Humanities,1,2,3,3,4,4,6,3,2,3,31
Mathematics,33,31,24,23,22,26,26,23,27,24,259
Mechanical Engineering,7,4,4,2,4,5,5,4,2,4,41
Music,11,7,6,6,6,5,7,3,3,2,56
Music Technology,,,,,,,,,,5,5
Nanotechnology,3,4,4,3,5,3,,2,1,1,26
Neuroscience,5,1,2,4,1,,1,,1,1,16
Organizing Theme,,,,,1,8,,,,,1
Philosophy,5,5,6,3,4,3,5,8,4,6,54
Physics,3,4,3,6,3,14,,,,2,24
Political Science,20,18,21,13,8,7,13,12,7,8,134
Psychology,10,7,5,4,1,,10,14,6,9,73
Religious Studies,,1,,,,3,2,2,2,2,9
Russian,,1,3,3,4,1,2,2,1,,19
"Science, Medicine, & Tech in Culture",,,1,2,1,11,,,1,,6
Seward Organizing Theme,12,11,6,12,7,1,7,5,19,12,102
Sociology,,,1,,2,12,1,2,1,2,10
Spanish,11,14,10,14,11,5,12,16,9,9,118
Statistics,,,2,3,7,3,7,8,4,2,38
Studio Fine Arts,4,2,1,2,3,2,6,3,4,4,32
Theater,5,3,4,6,4,,,1,2,2,29
Visual Arts,,,,,1,,,,,1,2
World Musics & Cultures,1,,,1,,,,1,2,2,7
Grand Total,244,238,217,243,231,231,226,244,227,260,2361
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
