,15/SP,16/SP,17/SP,18/SP,19/SP,20/SP,21/SP,22/SP,23/SP,24/SP,Grand Total
Africana Studies,5,2,2,4,3,1,1,,2,1,21
American Studies,,,,1,2,1,2,1,,,7
Anthropology,8,9,10,11,11,15,12,9,11,16,112
Art History,4,3,1,2,2,4,2,2,1,,21
Asian Studies,3,4,2,4,2,2,3,,2,1,23
Astronomy,1,3,4,4,2,4,2,2,1,1,24
Astrophysics,1,5,5,4,8,7,5,3,5,9,52
Bioengineering/ Biomedical Engineering,1,,1,1,4,1,2,2,2,3,17
Biology,16,15,10,11,8,5,7,8,9,9,98
Chemistry,7,12,11,9,4,11,14,10,14,12,104
Chinese,7,5,3,8,5,8,9,8,7,6,66
Classical Civilization,16,29,43,46,27,20,19,21,16,29,266
Computer Engineering,3,2,,,1,1,,,,,7
Computer Science,13,16,12,15,12,14,14,19,14,23,152
Dance,16,20,20,19,22,21,23,21,15,13,190
Data Analytics,,,,,,3,9,22,41,45,120
Digital Media,7,4,1,6,5,6,5,3,4,6,47
Economics,28,22,22,20,29,29,19,23,19,22,233
Electrical Engineering,4,11,10,14,6,6,10,10,11,8,90
Energy Studies,5,6,2,5,9,6,8,5,1,1,48
English,22,16,11,12,19,17,23,19,20,19,178
Environmental Engineering,14,10,10,9,9,6,4,7,7,7,83
Environmental Science & Policy,12,23,20,25,17,18,11,27,20,21,194
Environmental Studies,,,,1,,,,,,,1
Film Studies,10,12,10,5,9,9,6,12,12,12,97
Financial & Actuarial Mathematics,,,,,,,,,,,14
French,15,20,17,11,14,14,15,14,19,16,155
"Gender, Sexuality & Women Studies",3,3,5,6,4,7,8,8,4,7,55
Geology/ Geosciences,1,2,5,4,3,4,6,4,2,1,32
German Studies,3,4,11,8,2,7,10,13,8,7,73
Global & Popular Music,,,,,,,,,,2,2
Greek,2,1,,,,,,,,,3
History,22,22,16,18,27,29,28,27,21,24,234
Japanese,3,6,8,9,10,11,6,8,8,10,79
Jewish Studies,4,3,4,4,2,1,2,1,2,1,24
Latin,4,2,3,2,,,,,2,2,15
Latin American & Caribbean Studies,3,5,7,2,3,1,1,,3,2,27
Law & Humanities,4,4,4,8,11,20,22,15,10,11,109
Mathematics,53,44,32,38,37,43,36,36,36,39,394
Mechanical Engineering,8,5,4,3,5,6,5,4,6,7,53
Music,15,9,8,8,11,11,11,10,9,4,96
Music Technology,,,,,,,,,3,9,12
Nanotechnology,3,4,4,3,6,5,1,3,3,2,34
Neuroscience,6,5,7,6,3,2,1,2,3,2,37
Organizing Theme,,,,,1,,,,,,1
Philosophy,10,11,13,3,6,12,11,14,13,11,104
Physics,3,4,3,6,3,4,,1,1,3,28
Political Science,33,28,35,27,19,25,29,22,16,15,249
Psychology,36,35,35,27,24,28,36,36,32,43,332
Public History,1,1,1,1,,,,,,,5
Religious Studies,8,5,1,1,2,2,4,4,2,5,34
Russian,3,3,4,6,7,4,5,5,2,2,41
"Science, Medicine, & Tech in Culture",,,1,2,4,4,6,7,7,2,33
"Science, Technology, & Society",,,,,,,,,1,4,5
Seward Organizing Theme,18,21,13,22,15,30,21,13,35,35,223
Sociology,10,15,11,8,14,9,15,16,16,19,133
Spanish,38,40,38,39,38,40,40,40,27,30,370
Statistics,,,2,3,13,11,13,13,9,6,70
Studio Fine Arts,13,17,7,5,16,18,15,11,11,9,122
Theater,5,4,5,12,8,9,1,5,5,12,66
Visual Arts,,1,4,14,8,3,1,,1,1,33
World Musics & Cultures,1,,,1,,2,2,1,3,3,13
Grand Total ,531,553,518,543,532,577,561,567,558,621,"5,561"
